id,source_name,source_url,product_url,title,description,category,tags,material,craft_type,image_url,price_inr,rating,review_count,availability,scraped_at,image_hash,text_embedding_id,quality_score
mkt_00001,india_crafts_open_catalog,https://data.gov.in/resource/handicrafts,https://data.gov.in/resource/handicrafts/terracotta-diya-lamp-01,Handmade Terracotta Decorative Lamp with Carved Floral Motifs,Eco-friendly handmade terracotta lamp crafted by rural clay artisans with traditional open-flame kiln firing.,Home Decor,"terracotta, lamp, clay, handmade, traditional, home decor",Terracotta Clay,Pottery & Terracotta,https://images.unsplash.com/photo-1596178065887-1198b6148b2b?w=600,950.0,4.6,42,in_stock,2026-09-19T08:37:19.998156+00:00,47fbdc7c5d50014f,txt_00001,0.95
mkt_00002,curated_handicraft_market,https://artisanx-market-data.internal/v1,https://artisanx-market-data.internal/v1/terracotta/table-lamp-99,Handcrafted Terracotta Decorative Table Lamp,Finely sculpted earthenware lamp shade with perforated cutwork casting warm ambient shadow patterns.,Home Decor,"terracotta, table lamp, perforated, earthen, lighting",Terracotta,Pottery & Terracotta,https://images.unsplash.com/photo-1507473885765-e6ed057f782c?w=600,999.0,4.8,18,in_stock,2026-09-19T08:37:19.998156+00:00,b3747cb6267a7e66,txt_00002,0.95
mkt_00003,india_crafts_open_catalog,https://data.gov.in/resource/handicrafts,https://data.gov.in/resource/handicrafts/traditional-terracotta-lamp-03,Traditional Terracotta Diya Lamp Set of 4,Artisanal baked red clay oil lamps with hand-painted herbal border patterns.,Home Decor,"terracotta, diya, lamp, festival, clay",Natural Red Clay,Pottery & Terracotta,https://images.unsplash.com/photo-1605007493699-af65834f8a00?w=600,899.0,4.5,65,in_stock,2026-09-19T08:37:19.998156+00:00,c6f238d1f2a9f6db,txt_00003,0.95
mkt_00004,curated_handicraft_market,https://artisanx-market-data.internal/v1,https://artisanx-market-data.internal/v1/pottery/terracotta-bankura-horse,Authentic Terracotta Bankura Horse Figurine 12 Inch,GI-tagged traditional terracotta horse with pointed ears and symmetrical crest hand-shaped on potter's wheel.,Art & Collectibles,"bankura horse, terracotta, gi tag, clay sculpture, figurine",Alluvial Clay,Pottery & Terracotta,https://images.unsplash.com/photo-1578749556568-bc2c40e68b61?w=600,1450.0,4.9,89,in_stock,2026-09-19T08:37:19.998156+00:00,879af0409d9100b2,txt_00004,0.95
mkt_00005,india_crafts_open_catalog,https://data.gov.in/resource/handicrafts,https://data.gov.in/resource/handicrafts/clay-curd-pot-natural,Unglazed Earthen Clay Curd Pot with Lid 1.5L,Organic non-toxic porous red clay vessel for natural fermentation and yogurt setting.,Kitchen & Dining,"clay pot, matka, curd pot, cookware, organic",Clay,Pottery & Terracotta,https://images.unsplash.com/photo-1615865417491-9941019fbc00?w=600,420.0,4.4,112,in_stock,2026-09-19T08:37:19.998156+00:00,84be12fd180b9369,txt_00005,0.95
mkt_00006,india_crafts_open_catalog,https://data.gov.in/resource/handicrafts,https://data.gov.in/resource/handicrafts/sheesham-wood-bowl-large,Hand-Carved Sheesham Wood Salad Bowl with Natural Grain,Solid single-piece Indian Rosewood serving bowl finished with organic walnut oil.,Kitchen & Dining,"wooden bowl, sheesham, rosewood, salad bowl, hand carved",Sheesham Wood,Wood Carving,https://images.unsplash.com/photo-1546554137-f86b9593a222?w=600,1250.0,4.7,53,in_stock,2026-09-19T08:37:19.998156+00:00,202ae2e3b21cd977,txt_00006,0.95
mkt_00007,curated_handicraft_market,https://artisanx-market-data.internal/v1,https://artisanx-market-data.internal/v1/wood/teak-serving-tray,Rustic Teak Wood Serving Tray with Brass Handles,Premium reclaimed teakwood platter with hand-beaten antique brass handles.,Kitchen & Dining,"teak wood, tray, serving tray, brass handles, rustic",Teak Wood,Wood Carving,https://images.unsplash.com/photo-1584269600519-112d071b35e6?w=600,1850.0,4.8,34,in_stock,2026-09-19T08:37:19.998156+00:00,d4946071eaa72b2e,txt_00007,0.95
mkt_00008,india_crafts_open_catalog,https://data.gov.in/resource/handicrafts,https://data.gov.in/resource/handicrafts/channapatna-wooden-toy-stacker,Channapatna Lacquerware Wooden Stacking Ring Toy,GI tagged non-toxic vegetable-dyed wooden educational toy safe for infants.,Toys & Games,"channapatna, wooden toy, lacquerware, gi craft, kids",Hale Wood,Lacquer Wood Turning,https://images.unsplash.com/photo-1596461404969-9ae70f2830c1?w=600,650.0,4.9,76,in_stock,2026-09-19T08:37:19.998156+00:00,807bc27eba0b57e3,txt_00008,0.95
mkt_00009,traditional_handloom_registry,https://handlooms.nic.in/market,https://handlooms.nic.in/market/kanchipuram-silk-saree-pure-zari,Pure Kanchipuram Handwoven Silk Saree with Real Zari Border,Heirloom grade pure mulberry silk with korvai weaving technique and temple border.,Apparel & Textiles,"kanchipuram, silk saree, handloom, zari, wedding wear",Pure Mulberry Silk,Silk Weaving,https://images.unsplash.com/photo-1610030469983-98e550d6193c?w=600,24500.0,4.9,29,in_stock,2026-09-19T08:37:19.998156+00:00,a68b596ee29f00b5,txt_00009,0.95
mkt_00010,traditional_handloom_registry,https://handlooms.nic.in/market,https://handlooms.nic.in/market/banarasi-katan-silk-saree,Banarasi Katan Silk Brocade Saree with Kadwa Weave,Finely woven Varanasi silk saree featuring floral jangla motif in antique gold and silver zari.,Apparel & Textiles,"banarasi, katan silk, kadwa, brocade, traditional",Katan Silk,Silk Weaving,https://images.unsplash.com/photo-1617627143750-d86bc21e42bb?w=600,18900.0,4.8,38,in_stock,2026-09-19T08:37:19.998156+00:00,e357f359bfc8898c,txt_00010,0.95
